"cust","prod","day","month","year","state","quant","date","credit"
"Boo","Cherry",15,9,2017,"CT",600,"2017-09-15",True
"Chae","Ham",12,10,2017,"NJ",774,"2017-10-12",True
"Sam","Ham",29,3,2018,"PA",463,"2018-03-29",False
"Emily","Butter",26,3,2017,"PA",41,"2017-03-26",False
"Claire","Dates",28,7,2016,"NJ",958,"2016-07-28",True
"Boo","Ice",30,10,2018,"PA",490,"2018-10-30",True
"Wally","Grapes",10,1,2017,"NJ",85,"2017-01-10",False
"Boo","Butter",29,11,2020,"PA",46,"2020-11-29",False
"Sam","Apple",29,6,2019,"PA",924,"2019-06-29",True
"Boo","Dates",31,7,2016,"NJ",762,"2016-07-31",True
"Boo","Eggs",17,12,2018,"CT",990,"2018-12-17",False
"Claire","Ham",26,12,2018,"CT",870,"2018-12-26",False
"Dan","Ham",10,4,2018,"NJ",512,"2018-04-10",False
"Claire","Butter",9,3,2019,"NY",565,"2019-03-09",False
"Dan","Fish",25,3,2019,"NY",2,"2019-03-25",True
"Mia","Fish",12,4,2019,"NJ",902,"2019-04-12",False
"Claire","Dates",10,3,2019,"NY",56,"2019-03-10",False
"Sam","Grapes",12,10,2017,"PA",33,"2017-10-12",True
"Chae","Cherry",11,1,2016,"CT",436,"2016-01-11",False
"Chae","Butter",22,3,2019,"NJ",375,"2019-03-22",True
"Helen","Eggs",20,1,2016,"NY",297,"2016-01-20",False
"Claire","Apple",3,6,2018,"PA",420,"2018-06-03",True
"Wally","Eggs",12,11,2016,"NJ",796,"2016-11-12",False
"Wally","Butter",6,1,2019,"NY",237,"2019-01-06",True
"Claire","Apple",24,9,2018,"PA",740,"2018-09-24",False
"Claire","Butter",15,6,2020,"NY",61,"2020-06-15",True
"Chae","Ice",17,10,2017,"PA",908,"2017-10-17",False
"Mia","Dates",13,11,2018,"NY",176,"2018-11-13",True
"Sam","Butter",1,8,2020,"PA",325,"2020-08-01",False
"Chae","Dates",9,7,2017,"NY",470,"2017-07-09",True
"Boo","Butter",3,4,2018,"PA",453,"2018-04-03",False
"Wally","Ice",9,2,2018,"PA",886,"2018-02-09",False
"Dan","Butter",16,4,2019,"CT",205,"2019-04-16",True
"Mia","Fish",23,12,2017,"PA",901,"2017-12-23",True
"Emily","Fish",17,2,2020,"NJ",55,"2020-02-17",False
"Emily","Grapes",12,2,2018,"NY",243,"2018-02-12",True
"Emily","Eggs",16,6,2017,"NJ",187,"2017-06-16",False
"Mia","Eggs",7,10,2017,"PA",490,"2017-10-07",True
"Claire","Fish",10,2,2018,"PA",967,"2018-02-10",True
"Sam","Apple",3,5,2016,"CT",705,"2016-05-03",False
"Dan","Butter",15,7,2019,"PA",842,"2019-07-15",False
"Boo","Cherry",18,4,2019,"NJ",9,"2019-04-18",False
"Boo","Dates",22,4,2016,"NJ",402,"2016-04-22",False
"Sam","Cherry",17,2,2020,"PA",119,"2020-02-17",True
"Boo","Dates",4,11,2016,"NY",394,"2016-11-04",False
"Boo","Eggs",8,11,2017,"PA",798,"2017-11-08",False
"Boo","Apple",2,4,2020,"NJ",979,"2020-04-02",False
"Emily","Ice",5,1,2019,"NJ",378,"2019-01-05",False
"Wally","Butter",8,6,2016,"PA",154,"2016-06-08",True
"Claire","Ham",30,11,2020,"CT",586,"2020-11-30",False
"Boo","Cherry",13,10,2020,"NY",688,"2020-10-13",True
"Wally","Butter",31,1,2017,"NJ",45,"2017-01-31",True
"Chae","Cherry",10,9,2020,"NY",628,"2020-09-10",True
"Wally","Jelly",18,2,2019,"NY",518,"2019-02-18",True
"Mia","Grapes",8,9,2018,"NY",226,"2018-09-08",True
"Helen","Grapes",30,9,2018,"PA",284,"2018-09-30",False
"Dan","Apple",20,10,2020,"NJ",542,"2020-10-20",True
"Emily","Ham",15,5,2018,"NY",838,"2018-05-15",True
"Chae","Butter",30,5,2018,"CT",634,"2018-05-30",True
"Boo","Apple",10,4,2016,"CT",563,"2016-04-10",True
"Sam","Ham",10,8,2016,"PA",876,"2016-08-10",False
"Dan","Butter",17,12,2017,"NJ",225,"2017-12-17",False
"Helen","Dates",11,6,2017,"PA",537,"2017-06-11",False
"Claire","Apple",28,6,2019,"NY",852,"2019-06-28",True
"Boo","Grapes",4,7,2017,"NY",835,"2017-07-04",True
"Emily","Fish",5,10,2018,"CT",312,"2018-10-05",False
"Claire","Apple",17,10,2019,"CT",568,"2019-10-17",True
"Emily","Grapes",11,7,2016,"NJ",922,"2016-07-11",True
"Mia","Grapes",19,6,2020,"PA",373,"2020-06-19",False
"Emily","Grapes",9,9,2016,"NJ",911,"2016-09-09",False
"Helen","Ice",22,1,2020,"CT",151,"2020-01-22",True
"Helen","Grapes",29,6,2020,"PA",873,"2020-06-29",False
"Wally","Fish",27,9,2016,"NY",528,"2016-09-27",True
"Helen","Eggs",20,5,2016,"NY",374,"2016-05-20",True
"Boo","Dates",17,7,2016,"CT",56,"2016-07-17",True
"Dan","Cherry",24,4,2019,"CT",467,"2019-04-24",True
"Claire","Ice",2,2,2017,"CT",71,"2017-02-02",True
"Chae","Ham",19,5,2020,"PA",494,"2020-05-19",True
"Sam","Butter",11,12,2016,"PA",228,"2016-12-11",True
"Claire","Ham",11,1,2018,"NY",367,"2018-01-11",False
"Boo","Butter",12,11,2018,"NJ",178,"2018-11-12",False
"Helen","Cherry",25,3,2020,"NJ",363,"2020-03-25",False
"Boo","Grapes",19,10,2016,"PA",886,"2016-10-19",False
"Chae","Fish",29,1,2019,"CT",424,"2019-01-29",True
"Chae","Dates",1,12,2020,"CT",536,"2020-12-01",True
"Sam","Ice",9,3,2020,"NJ",900,"2020-03-09",False
"Boo","Grapes",15,11,2019,"NY",295,"2019-11-15",True
"Boo","Fish",20,3,2019,"PA",159,"2019-03-20",True
"Helen","Jelly",31,8,2018,"NY",977,"2018-08-31",True
"Boo","Grapes",6,4,2016,"CT",552,"2016-04-06",False
"Sam","Cherry",23,4,2019,"NY",944,"2019-04-23",False
"Chae","Cherry",20,3,2018,"CT",348,"2018-03-20",False
"Dan","Ice",9,4,2020,"NY",50,"2020-04-09",True
"Sam","Butter",25,11,2020,"PA",789,"2020-11-25",False
"Emily","Butter",19,9,2019,"NJ",144,"2019-09-19",True
"Emily","Apple",26,5,2019,"NJ",344,"2019-05-26",True
"Mia","Butter",17,12,2017,"PA",605,"2017-12-17",True
"Helen","Cherry",30,3,2016,"CT",561,"2016-03-30",False
"Dan","Eggs",1,1,2020,"NY",633,"2020-01-01",True
"Helen","Butter",29,4,2017,"PA",23,"2017-04-29",False
"Boo","Eggs",21,8,2016,"PA",150,"2016-08-21",False
"Wally","Butter",20,10,2016,"NJ",684,"2016-10-20",False
"Boo","Butter",11,10,2016,"NY",993,"2016-10-11",False
"Wally","Ham",14,3,2018,"NY",841,"2018-03-14",True
"Boo","Apple",27,3,2020,"NJ",8,"2020-03-27",True
"Mia","Jelly",2,1,2016,"NJ",210,"2016-01-02",True
"Chae","Cherry",25,8,2016,"CT",218,"2016-08-25",False
"Wally","Butter",17,9,2020,"PA",98,"2020-09-17",True
"Boo","Ice",7,6,2016,"NJ",603,"2016-06-07",True
"Sam","Jelly",29,7,2018,"NJ",633,"2018-07-29",False
"Chae","Apple",4,2,2018,"NJ",684,"2018-02-04",True
"Boo","Butter",2,2,2016,"NY",461,"2016-02-02",False
"Boo","Ham",5,11,2020,"NJ",393,"2020-11-05",False
"Claire","Eggs",8,12,2018,"NJ",91,"2018-12-08",True
"Emily","Jelly",10,10,2018,"CT",653,"2018-10-10",False
"Emily","Eggs",30,4,2016,"NJ",196,"2016-04-30",True
"Helen","Butter",23,5,2019,"CT",305,"2019-05-23",True
"Dan","Dates",24,12,2020,"NJ",395,"2020-12-24",True
"Claire","Grapes",10,4,2018,"NY",302,"2018-04-10",False
"Helen","Jelly",26,5,2018,"CT",235,"2018-05-26",False
"Sam","Ice",18,2,2018,"PA",313,"2018-02-18",False
"Chae","Apple",29,4,2018,"NJ",567,"2018-04-29",False
"Dan","Dates",10,12,2017,"NJ",506,"2017-12-10",False
"Mia","Fish",20,2,2019,"NJ",21,"2019-02-20",False
"Mia","Butter",29,10,2018,"NJ",304,"2018-10-29",False
"Claire","Ham",23,11,2017,"CT",966,"2017-11-23",False
"Helen","Ice",9,10,2018,"NJ",892,"2018-10-09",True
"Dan","Dates",17,2,2020,"NY",395,"2020-02-17",False
"Dan","Grapes",18,5,2020,"NY",844,"2020-05-18",True
"Helen","Fish",17,3,2020,"NJ",924,"2020-03-17",False
"Chae","Ice",21,1,2018,"NJ",917,"2018-01-21",False
"Boo","Dates",6,1,2016,"PA",381,"2016-01-06",True
"Wally","Dates",6,11,2017,"PA",465,"2017-11-06",False
"Claire","Ham",1,3,2017,"NJ",26,"2017-03-01",False
"Helen","Grapes",11,2,2017,"PA",376,"2017-02-11",True
"Helen","Apple",27,3,2020,"PA",395,"2020-03-27",False
"Boo","Eggs",30,12,2019,"NY",954,"2019-12-30",True
"Wally","Cherry",4,11,2017,"CT",896,"2017-11-04",True
"Boo","Ice",23,3,2017,"NY",116,"2017-03-23",True
"Dan","Cherry",10,2,2016,"PA",886,"2016-02-10",False
"Sam","Butter",12,1,2020,"CT",724,"2020-01-12",True
"Dan","Ice",9,9,2020,"NJ",871,"2020-09-09",False
"Helen","Jelly",12,6,2016,"NY",680,"2016-06-12",False
"Emily","Apple",28,9,2017,"CT",287,"2017-09-28",False
"Emily","Ice",20,5,2016,"CT",48,"2016-05-20",True
"Helen","Dates",25,2,2016,"NY",584,"2016-02-25",False
"Claire","Butter",6,9,2016,"NY",214,"2016-09-06",False
"Emily","Grapes",11,10,2017,"NY",468,"2017-10-11",False
"Chae","Dates",11,9,2017,"NY",589,"2017-09-11",False
"Sam","Cherry",19,3,2019,"CT",97,"2019-03-19",False
"Emily","Jelly",8,9,2017,"CT",460,"2017-09-08",True
"Helen","Butter",2,10,2017,"NY",385,"2017-10-02",True
"Wally","Fish",11,3,2017,"PA",879,"2017-03-11",True
"Helen","Jelly",8,3,2018,"NJ",620,"2018-03-08",True
"Sam","Grapes",15,12,2018,"PA",615,"2018-12-15",False
"Chae","Dates",7,12,2017,"CT",322,"2017-12-07",True
"Wally","Fish",19,3,2018,"NY",909,"2018-03-19",True
"Sam","Fish",28,12,2016,"CT",528,"2016-12-28",False
"Wally","Apple",3,6,2020,"PA",385,"2020-06-03",False
"Wally","Ham",1,9,2019,"NY",272,"2019-09-01",True
"Sam","Butter",29,9,2019,"NJ",354,"2019-09-29",True
"Emily","Cherry",8,11,2017,"NY",75,"2017-11-08",False
"Claire","Grapes",24,11,2017,"CT",189,"2017-11-24",True
"Sam","Apple",19,4,2018,"NY",498,"2018-04-19",True
"Claire","Grapes",17,1,2018,"CT",383,"2018-01-17",True
"Chae","Jelly",16,9,2016,"NJ",147,"2016-09-16",False
"Claire","Jelly",8,3,2019,"NY",275,"2019-03-08",False
"Sam","Fish",20,2,2019,"PA",265,"2019-02-20",False
"Helen","Eggs",14,6,2020,"CT",818,"2020-06-14",False
"Dan","Ham",29,9,2020,"NY",728,"2020-09-29",False
"Dan","Dates",22,5,2017,"PA",649,"2017-05-22",False
"Emily","Butter",24,9,2016,"NY",692,"2016-09-24",False
"Mia","Butter",14,8,2017,"PA",611,"2017-08-14",True
"Sam","Apple",10,2,2018,"NY",62,"2018-02-10",True
"Wally","Eggs",13,5,2016,"NJ",752,"2016-05-13",True
"Claire","Ice",3,7,2018,"CT",807,"2018-07-03",True
"Helen","Eggs",16,4,2020,"NY",500,"2020-04-16",True
"Chae","Grapes",2,3,2018,"PA",992,"2018-03-02",False
"Helen","Jelly",1,12,2016,"NY",850,"2016-12-01",False
"Helen","Apple",23,8,2018,"NY",493,"2018-08-23",False
"Dan","Jelly",15,5,2019,"CT",872,"2019-05-15",True
"Claire","Dates",7,6,2018,"NJ",79,"2018-06-07",False
"Sam","Ice",10,2,2019,"NY",493,"2019-02-10",True
"Boo","Cherry",28,6,2018,"CT",228,"2018-06-28",False
"Mia","Apple",11,11,2020,"PA",55,"2020-11-11",True
"Helen","Eggs",15,2,2017,"NJ",4,"2017-02-15",False
"Dan","Cherry",25,8,2017,"NJ",175,"2017-08-25",False
"Mia","Dates",19,9,2019,"CT",854,"2019-09-19",True
"Wally","Apple",31,1,2019,"CT",840,"2019-01-31",False
"Chae","Fish",20,10,2016,"CT",90,"2016-10-20",False
"Wally","Apple",19,10,2018,"CT",871,"2018-10-19",True
"Dan","Jelly",26,6,2018,"PA",532,"2018-06-26",True
"Chae","Apple",16,3,2019,"CT",534,"2019-03-16",True
"Emily","Fish",1,1,2017,"NJ",651,"2017-01-01",True
"Boo","Eggs",17,1,2017,"NJ",817,"2017-01-17",True
"Dan","Dates",27,10,2018,"NY",635,"2018-10-27",False
"Dan","Dates",12,5,2019,"NJ",498,"2019-05-12",False
"Boo","Dates",14,3,2018,"NJ",519,"2018-03-14",False
"Mia","Eggs",22,4,2017,"CT",232,"2017-04-22",False
"Chae","Fish",14,9,2020,"PA",817,"2020-09-14",False
"Chae","Ham",31,8,2018,"NJ",769,"2018-08-31",False
"Chae","Ice",12,2,2017,"PA",891,"2017-02-12",False
"Helen","Ice",4,6,2019,"CT",595,"2019-06-04",True
"Helen","Dates",25,3,2020,"CT",831,"2020-03-25",True
"Claire","Apple",8,7,2018,"NY",604,"2018-07-08",True
"Dan","Cherry",18,8,2018,"CT",927,"2018-08-18",False
"Mia","Cherry",11,12,2017,"NJ",253,"2017-12-11",False
"Chae","Jelly",24,1,2019,"NY",788,"2019-01-24",True
"Chae","Fish",1,1,2016,"PA",245,"2016-01-01",False
"Mia","Apple",29,5,2020,"NJ",396,"2020-05-29",True
"Sam","Jelly",24,8,2019,"NY",874,"2019-08-24",False
"Boo","Jelly",22,6,2019,"NJ",384,"2019-06-22",True
"Claire","Ham",16,7,2017,"CT",620,"2017-07-16",True
"Chae","Grapes",25,5,2016,"NJ",997,"2016-05-25",True
"Chae","Jelly",26,12,2017,"NJ",11,"2017-12-26",True
"Sam","Ice",9,12,2016,"NY",835,"2016-12-09",True
"Helen","Jelly",12,6,2020,"PA",563,"2020-06-12",True
"Wally","Cherry",15,7,2017,"PA",57,"2017-07-15",True
"Chae","Ice",17,4,2017,"NJ",495,"2017-04-17",False
"Mia","Fish",2,10,2017,"NY",805,"2017-10-02",True
"Boo","Fish",3,11,2020,"NY",805,"2020-11-03",True
"Dan","Ice",5,1,2017,"NY",533,"2017-01-05",False
"Sam","Jelly",19,1,2019,"NJ",298,"2019-01-19",False
"Emily","Ham",21,10,2016,"CT",850,"2016-10-21",True
"Wally","Grapes",17,6,2018,"CT",684,"2018-06-17",True
"Claire","Jelly",21,5,2018,"NJ",994,"2018-05-21",True
"Helen","Ham",7,8,2020,"NJ",763,"2020-08-07",True
"Boo","Cherry",4,12,2019,"PA",83,"2019-12-04",True
"Sam","Jelly",7,7,2018,"PA",376,"2018-07-07",True
"Wally","Grapes",21,6,2020,"PA",166,"2020-06-21",True
"Emily","Dates",6,5,2016,"NJ",276,"2016-05-06",True
"Chae","Ice",23,5,2018,"NY",851,"2018-05-23",True
"Boo","Ham",9,3,2018,"NJ",700,"2018-03-09",False
"Sam","Butter",26,7,2019,"NJ",996,"2019-07-26",False
"Chae","Grapes",9,2,2018,"PA",700,"2018-02-09",True
"Chae","Butter",30,12,2017,"CT",644,"2017-12-30",False
"Mia","Dates",15,3,2018,"CT",435,"2018-03-15",True
"Helen","Dates",31,8,2018,"PA",235,"2018-08-31",False
"Chae","Butter",18,4,2016,"CT",259,"2016-04-18",False
"Sam","Grapes",28,1,2019,"CT",139,"2019-01-28",True
"Chae","Ice",12,4,2019,"PA",896,"2019-04-12",False
"Dan","Butter",18,1,2019,"NJ",491,"2019-01-18",True
"Mia","Apple",10,12,2018,"NY",857,"2018-12-10",True
"Emily","Eggs",30,10,2016,"NY",705,"2016-10-30",True
"Wally","Fish",23,11,2018,"NY",139,"2018-11-23",True
"Boo","Ice",9,2,2019,"PA",56,"2019-02-09",True
"Wally","Ice",5,5,2017,"NY",261,"2017-05-05",True
"Wally","Dates",14,2,2017,"PA",459,"2017-02-14",True
"Emily","Dates",30,3,2018,"NY",550,"2018-03-30",False
"Chae","Fish",15,8,2018,"CT",412,"2018-08-15",False
"Claire","Apple",27,4,2019,"PA",371,"2019-04-27",True
"Dan","Ice",11,3,2017,"NJ",45,"2017-03-11",True
"Helen","Butter",22,2,2019,"NY",279,"2019-02-22",True
"Claire","Cherry",22,5,2017,"CT",866,"2017-05-22",True
"Helen","Butter",24,6,2020,"NY",261,"2020-06-24",False
"Chae","Apple",29,5,2020,"PA",222,"2020-05-29",False
"Sam","Ice",7,4,2016,"NJ",865,"2016-04-07",False
"Mia","Dates",10,5,2016,"CT",28,"2016-05-10",True
"Emily","Grapes",26,9,2018,"PA",654,"2018-09-26",True
"Emily","Fish",11,10,2017,"CT",42,"2017-10-11",False
"Sam","Eggs",4,10,2020,"CT",421,"2020-10-04",True
"Emily","Fish",27,1,2019,"NY",867,"2019-01-27",True
"Chae","Butter",3,1,2019,"CT",116,"2019-01-03",False
"Emily","Apple",2,11,2019,"PA",75,"2019-11-02",True
"Boo","Jelly",4,6,2019,"PA",496,"2019-06-04",False
"Emily","Butter",6,7,2018,"PA",599,"2018-07-06",True
"Boo","Cherry",15,7,2019,"NJ",486,"2019-07-15",True
"Emily","Fish",24,5,2017,"NY",534,"2017-05-24",False
"Emily","Eggs",20,9,2018,"PA",114,"2018-09-20",False
"Chae","Jelly",8,11,2019,"PA",87,"2019-11-08",False
"Emily","Ham",4,4,2018,"PA",870,"2018-04-04",True
"Wally","Eggs",9,11,2020,"NJ",746,"2020-11-09",True
"Helen","Ice",2,10,2017,"NY",975,"2017-10-02",False
"Wally","Butter",30,8,2016,"CT",712,"2016-08-30",False
"Dan","Ice",24,4,2018,"NY",438,"2018-04-24",False
"Sam","Dates",26,3,2019,"CT",444,"2019-03-26",False
"Emily","Jelly",29,6,2018,"CT",781,"2018-06-29",False
"Chae","Fish",27,8,2017,"NY",848,"2017-08-27",True
"Emily","Ham",20,12,2020,"NJ",75,"2020-12-20",False
"Helen","Ham",6,8,2018,"NJ",651,"2018-08-06",True
"Claire","Ice",18,6,2020,"NJ",459,"2020-06-18",False
"Mia","Ice",9,9,2016,"CT",948,"2016-09-09",False
"Helen","Grapes",25,2,2018,"PA",379,"2018-02-25",True
"Dan","Ice",9,2,2016,"CT",168,"2016-02-09",True
"Boo","Fish",6,4,2016,"NJ",777,"2016-04-06",False
"Claire","Apple",22,5,2018,"NY",646,"2018-05-22",False
"Sam","Cherry",6,6,2019,"CT",980,"2019-06-06",True
"Helen","Ice",14,11,2019,"CT",715,"2019-11-14",True
"Chae","Cherry",14,2,2017,"PA",545,"2017-02-14",True
"Dan","Ham",20,3,2020,"CT",809,"2020-03-20",True
"Boo","Eggs",1,7,2020,"CT",816,"2020-07-01",True
"Helen","Grapes",7,9,2020,"PA",504,"2020-09-07",True
"Mia","Jelly",28,4,2018,"NJ",351,"2018-04-28",False
"Emily","Grapes",4,5,2016,"NY",728,"2016-05-04",True
"Emily","Dates",31,1,2017,"CT",128,"2017-01-31",True
"Sam","Apple",2,6,2016,"NY",643,"2016-06-02",True
"Wally","Ham",27,11,2018,"NY",353,"2018-11-27",False
"Wally","Butter",8,3,2020,"NY",506,"2020-03-08",True
"Chae","Jelly",19,5,2019,"PA",861,"2019-05-19",True
"Helen","Dates",3,11,2018,"NJ",418,"2018-11-03",True
"Dan","Ham",24,7,2020,"NY",766,"2020-07-24",False
"Emily","Dates",11,5,2020,"CT",952,"2020-05-11",True
"Sam","Butter",2,9,2016,"PA",904,"2016-09-02",True
"Sam","Jelly",18,12,2020,"NY",184,"2020-12-18",False
"Claire","Ham",16,11,2017,"PA",334,"2017-11-16",True
"Chae","Cherry",3,10,2020,"PA",129,"2020-10-03",False
"Chae","Jelly",7,12,2018,"NY",123,"2018-12-07",False
"Boo","Eggs",11,4,2019,"NY",830,"2019-04-11",False
"Mia","Butter",27,11,2018,"NJ",70,"2018-11-27",True
"Helen","Eggs",1,1,2019,"PA",623,"2019-01-01",False
"Boo","Dates",21,1,2018,"NY",603,"2018-01-21",False
"Claire","Dates",20,6,2017,"NJ",203,"2017-06-20",True
"Sam","Butter",4,7,2019,"PA",322,"2019-07-04",True
"Helen","Jelly",24,3,2016,"NJ",320,"2016-03-24",True
"Sam","Cherry",12,4,2020,"PA",840,"2020-04-12",False
"Sam","Fish",4,1,2016,"NJ",159,"2016-01-04",False
"Helen","Eggs",8,1,2017,"PA",951,"2017-01-08",False
"Sam","Butter",4,6,2017,"PA",698,"2017-06-04",False
"Chae","Cherry",8,12,2018,"CT",543,"2018-12-08",True
"Sam","Dates",8,8,2020,"PA",808,"2020-08-08",False
"Sam","Jelly",9,11,2019,"NY",761,"2019-11-09",False
"Dan","Eggs",15,9,2017,"CT",92,"2017-09-15",True
"Claire","Apple",23,9,2017,"NJ",28,"2017-09-23",False
"Helen","Grapes",11,1,2020,"CT",92,"2020-01-11",True
"Claire","Eggs",16,1,2017,"CT",431,"2017-01-16",True
"Helen","Butter",11,5,2018,"CT",869,"2018-05-11",False
"Mia","Apple",22,12,2016,"PA",221,"2016-12-22",True
"Dan","Ham",11,2,2020,"NY",298,"2020-02-11",True
"Sam","Ham",22,9,2018,"PA",768,"2018-09-22",True
"Emily","Dates",19,7,2016,"NY",721,"2016-07-19",True
"Sam","Eggs",10,12,2016,"NJ",36,"2016-12-10",False
"Claire","Jelly",22,2,2020,"NY",409,"2020-02-22",False
"Boo","Butter",17,11,2016,"NY",793,"2016-11-17",True
"Emily","Fish",5,6,2019,"NJ",660,"2019-06-05",True
"Wally","Grapes",12,3,2020,"CT",912,"2020-03-12",True
"Sam","Apple",12,12,2019,"PA",171,"2019-12-12",True
"Mia","Cherry",19,9,2017,"NY",311,"2017-09-19",False
"Claire","Cherry",6,11,2019,"PA",908,"2019-11-06",False
"Chae","Cherry",13,5,2020,"NY",982,"2020-05-13",True
"Boo","Grapes",25,8,2018,"PA",40,"2018-08-25",False
"Boo","Butter",9,2,2020,"CT",180,"2020-02-09",False
"Wally","Fish",17,8,2019,"NJ",998,"2019-08-17",True
"Claire","Cherry",13,7,2017,"NY",329,"2017-07-13",False
"Claire","Apple",7,4,2017,"PA",444,"2017-04-07",False
"Chae","Eggs",24,9,2020,"CT",320,"2020-09-24",False
"Boo","Fish",10,10,2020,"NJ",14,"2020-10-10",False
"Mia","Butter",19,6,2016,"PA",504,"2016-06-19",True
"Emily","Fish",10,11,2020,"PA",836,"2020-11-10",True
"Mia","Dates",6,11,2017,"NJ",182,"2017-11-06",True
"Mia","Ice",12,5,2018,"CT",275,"2018-05-12",True
"Mia","Fish",12,1,2017,"CT",29,"2017-01-12",True
"Boo","Jelly",25,9,2018,"CT",298,"2018-09-25",False
"Mia","Apple",25,9,2019,"CT",990,"2019-09-25",False
"Boo","Cherry",14,1,2016,"NJ",269,"2016-01-14",True
"Helen","Cherry",8,3,2016,"PA",815,"2016-03-08",True
"Mia","Jelly",14,3,2018,"CT",322,"2018-03-14",True
"Emily","Cherry",2,9,2020,"NJ",717,"2020-09-02",False
"Sam","Apple",18,12,2017,"NY",458,"2017-12-18",False
"Dan","Fish",20,1,2020,"NJ",896,"2020-01-20",True
"Mia","Grapes",7,10,2018,"NY",647,"2018-10-07",False
"Boo","Cherry",2,9,2016,"NY",99,"2016-09-02",False
"Wally","Butter",28,3,2020,"NY",236,"2020-03-28",True
"Mia","Cherry",14,4,2016,"NY",163,"2016-04-14",False
"Helen","Dates",17,4,2018,"PA",813,"2018-04-17",True
"Boo","Dates",4,12,2016,"PA",174,"2016-12-04",True
"Dan","Ice",21,10,2016,"CT",862,"2016-10-21",True
"Helen","Eggs",14,5,2020,"NJ",918,"2020-05-14",False
"Dan","Eggs",20,8,2016,"PA",650,"2016-08-20",True
"Sam","Eggs",25,3,2018,"NY",957,"2018-03-25",True
"Helen","Ham",19,2,2016,"NY",283,"2016-02-19",False
"Dan","Ice",14,9,2019,"NJ",924,"2019-09-14",True
"Helen","Cherry",30,4,2018,"NJ",113,"2018-04-30",True
"Claire","Jelly",9,7,2020,"CT",623,"2020-07-09",True
"Wally","Apple",17,5,2016,"PA",316,"2016-05-17",True
"Dan","Grapes",19,2,2016,"NJ",315,"2016-02-19",True
"Boo","Eggs",2,6,2016,"PA",962,"2016-06-02",True
"Helen","Eggs",8,10,2020,"PA",397,"2020-10-08",False
"Chae","Eggs",27,10,2019,"NY",994,"2019-10-27",False
"Mia","Ice",24,12,2018,"NJ",838,"2018-12-24",True
"Wally","Butter",8,2,2018,"CT",302,"2018-02-08",True
"Chae","Eggs",12,10,2016,"NY",822,"2016-10-12",False
"Claire","Butter",11,1,2020,"CT",186,"2020-01-11",True
"Dan","Grapes",17,12,2019,"PA",744,"2019-12-17",False
"Sam","Fish",13,11,2016,"NJ",34,"2016-11-13",True
"Dan","Cherry",8,4,2017,"PA",55,"2017-04-08",False
"Helen","Fish",30,6,2016,"PA",204,"2016-06-30",False
"Emily","Eggs",27,8,2019,"NY",640,"2019-08-27",False
"Boo","Apple",15,3,2016,"NY",403,"2016-03-15",False
"Boo","Jelly",14,4,2016,"NY",936,"2016-04-14",True
"Wally","Dates",23,4,2019,"NY",837,"2019-04-23",False
"Mia","Grapes",1,2,2016,"PA",835,"2016-02-01",True
"Boo","Butter",11,5,2017,"CT",158,"2017-05-11",True
"Boo","Apple",19,12,2016,"CT",407,"2016-12-19",True
"Chae","Fish",2,1,2019,"CT",260,"2019-01-02",True
"Chae","Butter",14,2,2018,"PA",860,"2018-02-14",True
"Chae","Fish",22,3,2017,"NJ",233,"2017-03-22",True
"Boo","Butter",25,6,2019,"PA",302,"2019-06-25",True
"Emily","Dates",6,6,2016,"PA",658,"2016-06-06",False
"Wally","Dates",1,2,2017,"NJ",362,"2017-02-01",True
"Chae","Fish",27,10,2016,"NJ",583,"2016-10-27",False
"Sam","Grapes",26,2,2018,"NJ",78,"2018-02-26",False
"Claire","Eggs",1,10,2018,"NJ",539,"2018-10-01",False
"Boo","Ice",19,6,2017,"NY",977,"2017-06-19",False
"Dan","Apple",1,6,2016,"NJ",143,"2016-06-01",False
"Dan","Jelly",19,7,2020,"NJ",659,"2020-07-19",False
"Claire","Butter",19,2,2020,"CT",718,"2020-02-19",True
"Wally","Dates",2,1,2016,"CT",96,"2016-01-02",False
"Emily","Ham",21,7,2019,"NJ",678,"2019-07-21",True
"Dan","Cherry",15,3,2016,"PA",976,"2016-03-15",False
"Chae","Ham",9,12,2020,"PA",393,"2020-12-09",True
"Chae","Butter",16,12,2019,"NY",478,"2019-12-16",True
"Sam","Jelly",4,9,2019,"PA",599,"2019-09-04",True
"Wally","Fish",8,5,2017,"CT",873,"2017-05-08",True
"Helen","Dates",22,10,2019,"CT",380,"2019-10-22",True
"Wally","Cherry",12,11,2019,"CT",365,"2019-11-12",True
"Mia","Jelly",3,3,2019,"NJ",576,"2019-03-03",False
"Boo","Ham",27,5,2019,"NJ",291,"2019-05-27",False
"Chae","Ham",20,11,2018,"PA",566,"2018-11-20",True
"Sam","Ice",3,4,2016,"PA",289,"2016-04-03",True
"Mia","Ham",25,4,2018,"CT",555,"2018-04-25",True
"Boo","Ice",6,7,2018,"PA",17,"2018-07-06",False
"Dan","Cherry",4,4,2016,"PA",124,"2016-04-04",False
"Claire","Jelly",11,2,2018,"NJ",268,"2018-02-11",False
"Sam","Apple",28,2,2019,"PA",614,"2019-02-28",False
"Helen","Cherry",2,8,2019,"NY",641,"2019-08-02",False
"Boo","Ice",21,4,2018,"PA",398,"2018-04-21",True
"Wally","Fish",11,8,2017,"NJ",606,"2017-08-11",True
"Sam","Apple",3,8,2019,"NY",34,"2019-08-03",False
